name,place_id,address,rating,user_ratings_total,maps_url
Anytime Fitness,ChIJ08t6PjYP2jERi4sIp8Z1Sw0,"638 Jurong West Street 61, #03-01 Pioneer Mall, Singapore",4.7,219,https://www.google.com/maps/place/?q=place_id:ChIJ08t6PjYP2jERi4sIp8Z1Sw0
Anytime Fitness,ChIJ1wA9lpkP2jERzqSzG_455VI,"60 Jurong West Street 91, #01-08, Singapore",4.3,121,https://www.google.com/maps/place/?q=place_id:ChIJ1wA9lpkP2jERzqSzG_455VI
Anytime Fitness NTU,ChIJGaSOxaMP2jERyU1IgUdcVAA,"110 Nanyang Cres, The Wave, Singapore",4.0,20,https://www.google.com/maps/place/?q=place_id:ChIJGaSOxaMP2jERyU1IgUdcVAA
Anytime Fitness,ChIJB2a1tX8R2jERLWSYgXhxS8E,"221 Boon Lay Pl, #03-106, Singapore",4.3,86,https://www.google.com/maps/place/?q=place_id:ChIJB2a1tX8R2jERLWSYgXhxS8E
Anytime Fitness,ChIJAQAALJMP2jERo6xygnW-OAg,"1 Jurong West Central 2, #03-24/25, Singapore",4.5,256,https://www.google.com/maps/place/?q=place_id:ChIJAQAALJMP2jERo6xygnW-OAg
Anytime Fitness Jurong,ChIJQQ3oDiYP2jERZpW0RAMs50U,"Block 442 Jurong West Ave 1, #01-746 to #01-748, Singapore",4.3,6,https://www.google.com/maps/place/?q=place_id:ChIJQQ3oDiYP2jERZpW0RAMs50U
Anytime Fitness Bukit Batok (Le Quest),ChIJWzP8GRkR2jERNdl0QuS7cxw,"4 Bukit Batok Street 41, #01-96, Singapore",4.8,118,https://www.google.com/maps/place/?q=place_id:ChIJWzP8GRkR2jERNdl0QuS7cxw
Anytime Fitness Bukit Batok CSC,ChIJVVWV-TgQ2jERLX7b4_3Era4,"91, 05-01 Bukit Batok West Ave 2, Block C",4.3,219,https://www.google.com/maps/place/?q=place_id:ChIJVVWV-TgQ2jERLX7b4_3Era4
Anytime Fitness Bukit Batok Connection,ChIJAyXKawAR2jERovorOBKXgO0,"2 Bukit Batok Street 23, #01-03, Singapore",4.8,27,https://www.google.com/maps/place/?q=place_id:ChIJAyXKawAR2jERovorOBKXgO0
Anytime Fitness Bukit Timah,ChIJk-uNfYoQ2jER8xHHpU1P2v4,"170 Upper Bukit Timah Rd, #B1-01 Shopping Centre, Singapore",4.1,140,https://www.google.com/maps/place/?q=place_id:ChIJk-uNfYoQ2jER8xHHpU1P2v4
Anytime Fitness New Upper Thomson,ChIJYarrYVgX2jERMIL70Z9Xgxg,"246S Upper Thomson Rd, New Upper Thomson, Central, Singapore",4.8,338,https://www.google.com/maps/place/?q=place_id:ChIJYarrYVgX2jERMIL70Z9Xgxg
Anytime Fitness New Tech Park,ChIJvWfuPusX2jERTreLHhxIrJ4,"151 Lorong Chuan, #01-12, NTP+",4.8,275,https://www.google.com/maps/place/?q=place_id:ChIJvWfuPusX2jERTreLHhxIrJ4
Anytime Fitness Bishan,ChIJJdP7KgAX2jERP-xQRtEg3I0,"505 Bishan St.11, #01-438, Singapore",4.3,55,https://www.google.com/maps/place/?q=place_id:ChIJJdP7KgAX2jERP-xQRtEg3I0
Anytime Fitness NEX,ChIJIV3T6qYX2jERA8evjvZnH64,"23 Serangoon Central, #04-73/74/75 nex Serangoon Central Central Singapore, 23 Serangoon Central, #73 - 75, Singapore",3.1,303,https://www.google.com/maps/place/?q=place_id:ChIJIV3T6qYX2jERA8evjvZnH64
Anytime Fitness Upper Serangoon,ChIJ6d4AMroX2jER54_heOkVACQ,"780 Upper Serangoon Rd, #01-04/05/06, Singapore",4.9,235,https://www.google.com/maps/place/?q=place_id:ChIJ6d4AMroX2jER54_heOkVACQ
Anytime Fitness,ChIJs-_B1-492jER30H1zKMHqBo,"Tampines West Community Club, 5 Tampines Ave 3, #2F",4.2,1346,https://www.google.com/maps/place/?q=place_id:ChIJs-_B1-492jER30H1zKMHqBo
Anytime Fitness Tampines Central,ChIJkx67ZFk92jERajUJMQTq7yg,"866A Tampines Street 83, #03-10 Central Community Complex, Singapore",4.4,67,https://www.google.com/maps/place/?q=place_id:ChIJkx67ZFk92jERajUJMQTq7yg
Anytime Fitness Tampines Grande,ChIJHe79HGc92jER59RrJhPT9nw,"7 Tampines Grande, #01-02/03/04/05, Singapore",4.1,60,https://www.google.com/maps/place/?q=place_id:ChIJHe79HGc92jER59RrJhPT9nw
Anytime Fitness Tampines,ChIJJ6RycA092jERhrzRHMJKfpU,"506 Tampines Central 1, #03-361, Singapore",4.7,398,https://www.google.com/maps/place/?q=place_id:ChIJJ6RycA092jERhrzRHMJKfpU
Anytime Fitness,ChIJt3FaVB092jERTrNzmlYINmo,"9 Tampines Street 32, #02-01 Tampines Mart, Singapore",4.5,105,https://www.google.com/maps/place/?q=place_id:ChIJt3FaVB092jERTrNzmlYINmo
Anytime Fitness Eastpoint Mall,ChIJJwYjQr492jERXypGYpymc7Q,"3 Simei Street 6, #03-25/26 Eastpoint Mall, Singapore",3.9,92,https://www.google.com/maps/place/?q=place_id:ChIJJwYjQr492jERXypGYpymc7Q
Anytime Fitness - Tengah,ChIJX0WaCmkR2jERM7Nhb2f_9rU,"119 Plantation Cres, #02-01, Singapore",4.9,24,https://www.google.com/maps/place/?q=place_id:ChIJX0WaCmkR2jERM7Nhb2f_9rU
Anytime Fitness hillV2,ChIJH3LLm1IQ2jERgHlnHILVwYQ,"4 Hillview Rise, #02-18/19, Singapore",3.2,112,https://www.google.com/maps/place/?q=place_id:ChIJH3LLm1IQ2jERgHlnHILVwYQ
Anytime Fitness Hong Kah North CC,ChIJI6PExwoR2jERkZDsnvx4FIw,"30 Bukit Batok Street 31, #04-04 Hong Kah North Community Club, Singapore",4.5,25,https://www.google.com/maps/place/?q=place_id:ChIJI6PExwoR2jERkZDsnvx4FIw
Anytime Fitness Ang Mo Kio,ChIJv9evkucW2jER_6wfvdf94w8,"4190 Ang Mo Kio Ave 6, #01-02 Broadway Plaza, Singapore",4.6,457,https://www.google.com/maps/place/?q=place_id:ChIJv9evkucW2jER_6wfvdf94w8
Anytime Fitness Lower Peirce,ChIJN1uLWAAX2jERC1uofj9f6C8,"16 Jln Kuras, Singapore",4.7,107,https://www.google.com/maps/place/?q=place_id:ChIJN1uLWAAX2jERC1uofj9f6C8
Anytime Fitness Marymount CC,ChIJhc1QGDEX2jERLJgFDgRkC0k,"191 Sin Ming Avenue #03-01, Marymount Community Club",4.0,97,https://www.google.com/maps/place/?q=place_id:ChIJhc1QGDEX2jERLJgFDgRkC0k
Anytime Fitness Kebun Baru CC,ChIJG818DiMX2jERLlftvSRz1as,"216 Ang Mo Kio Ave 4, #02-04 Kebun Baru Community Club, Singapore",4.3,24,https://www.google.com/maps/place/?q=place_id:ChIJG818DiMX2jERLlftvSRz1as
Anytime Fitness Ang Mo Kio South,ChIJcQuFyFIX2jERk5F05eGDtMI,"340 Ang Mo Kio Ave 1, #01-1681, Singapore",4.9,549,https://www.google.com/maps/place/?q=place_id:ChIJcQuFyFIX2jERk5F05eGDtMI
Anytime Fitness Bishan 227,ChIJFZ3YZgAX2jERzDujFfHi_yc,"Blk 227 Bishan St. 23, B1-79, Singapore",5.0,21,https://www.google.com/maps/place/?q=place_id:ChIJFZ3YZgAX2jERzDujFfHi_yc
Anytime Fitness 548 Ang Mo Kio,ChIJ-y9jPAAX2jERWfs_VFqzF40,"548 Ang Mo Kio Ave 10, #01-2014/2016, Singapore",5.0,1,https://www.google.com/maps/place/?q=place_id:ChIJ-y9jPAAX2jERWfs_VFqzF40
Anytime Fitness Serangoon Garden,ChIJFcfvzeAX2jER9LvW4nn1kbc,"53 Serangoon Garden Way, Singapore",4.7,379,https://www.google.com/maps/place/?q=place_id:ChIJFcfvzeAX2jER9LvW4nn1kbc
Anytime Fitness Hwi Yoh CC,ChIJJwWbiVkW2jER4pUkhfUQhV0,"23 Serangoon North Ave 4, #01-01 Hwi Yoh Community Centre, Singapore",3.3,39,https://www.google.com/maps/place/?q=place_id:ChIJJwWbiVkW2jER4pUkhfUQhV0
Anytime Fitness Kovan,ChIJk4DuSrQX2jEREXTna9XgYf0,"JForte Sportainment Centre, 50 Hougang Ave 1, Level 2",3.7,107,https://www.google.com/maps/place/?q=place_id:ChIJk4DuSrQX2jEREXTna9XgYf0
Anytime Fitness Hougang CC,ChIJ6fHsV-oX2jERFYmqUjxu2vA,"35 Hougang Ave 3, #02-01, Singapore",4.6,91,https://www.google.com/maps/place/?q=place_id:ChIJ6fHsV-oX2jERFYmqUjxu2vA
Anytime Fitness Hougang Central,ChIJuWZImXgX2jERKrkNceOpg4Q,"1187 Upper Serangoon Rd, B1-01 Midtown Residences (The Midtown Residences), Singapore",4.4,166,https://www.google.com/maps/place/?q=place_id:ChIJuWZImXgX2jERKrkNceOpg4Q
Anytime Fitness,ChIJGUp-sAI92jERJcjUGsAfp4Y,"1 Pasir Ris Cl, #05-105, Singapore",4.5,159,https://www.google.com/maps/place/?q=place_id:ChIJGUp-sAI92jERJcjUGsAfp4Y
Anytime Fitness Tampines 487,ChIJQaT6kEo92jERvYE-jSPRfYM,"Blk 487B Tampines Street 45, B1-123, Singapore",5.0,21,https://www.google.com/maps/place/?q=place_id:ChIJQaT6kEo92jERvYE-jSPRfYM
Anytime Fitness Loyang Point,ChIJURsxxbM92jERYNhZrqwX_ec,"258 Pasir Ris Street 21, #05-03 Loyang Point, Singapore",4.0,82,https://www.google.com/maps/place/?q=place_id:ChIJURsxxbM92jERYNhZrqwX_ec
Anytime Fitness Upper Changi,ChIJmVWFWsM92jER4beBg4vdeNE,"963C Upper Changi Rd N, #02-12/13/14 Komo Shoppes, Singapore",4.9,18,https://www.google.com/maps/place/?q=place_id:ChIJmVWFWsM92jER4beBg4vdeNE
