outlet,total_reviews,positive,neutral,negative,no_text,pct_positive,pct_neutral,pct_negative
Anytime Fitness Changi,95,94,0,1,0,98.95,0.0,1.05
Anytime Fitness Eastpoint Mall,92,43,39,10,32,46.74,42.39,10.87
Anytime Fitness Hougang CC,91,82,6,3,1,90.11,6.59,3.3
Anytime Fitness Balmoral,86,77,7,2,6,89.53,8.14,2.33
Anytime Fitness Kembangan,84,66,7,11,0,78.57,8.33,13.1
Anytime Fitness Cantonment Road,84,38,32,14,30,45.24,38.1,16.67
Anytime Fitness 537 Bedok North,83,81,1,1,0,97.59,1.2,1.2
Anytime Fitness Loyang Point,82,44,27,11,24,53.66,32.93,13.41
Anytime Fitness Aljunied 119,80,50,18,12,17,62.5,22.5,15.0
Anytime Fitness Mountbatten,78,64,9,5,9,82.05,11.54,6.41
Anytime Fitness Woodlands North,76,53,18,5,15,69.74,23.68,6.58
Anytime Fitness Greenwich V,72,32,37,3,37,44.44,51.39,4.17
Anytime Fitness Keppel,71,51,11,9,9,71.83,15.49,12.68
Anytime Fitness Kim Seng CC,70,61,6,3,5,87.14,8.57,4.29
Anytime Fitness Eastwood Centre,70,55,15,0,12,78.57,21.43,0.0
Anytime Fitness Stevens,68,33,31,4,29,48.53,45.59,5.88
Anytime Fitness Tampines Central,67,47,17,3,16,70.15,25.37,4.48
Anytime Fitness Cineleisure Orchard,63,43,18,2,16,68.25,28.57,3.17
Anytime Fitness Tampines Grande,60,38,12,10,11,63.33,20.0,16.67
Anytime Fitness Teck Whye,59,45,7,7,5,76.27,11.86,11.86
Anytime Fitness Simpang Bedok,59,48,11,0,9,81.36,18.64,0.0
Anytime Fitness Alexis,58,40,13,5,7,68.97,22.41,8.62
Anytime Fitness Bishan,55,37,11,7,10,67.27,20.0,12.73
Anytime Fitness Punggol Waterway,53,50,1,2,0,94.34,1.89,3.77
Anytime Fitness Gambas,53,40,8,5,3,75.47,15.09,9.43
Anytime Fitness Sunshine Place,46,40,4,2,1,86.96,8.7,4.35
Anytime Fitness Rochester,39,36,2,1,2,92.31,5.13,2.56
Anytime Fitness Hwi Yoh CC,39,11,12,16,10,28.21,30.77,41.03
Anytime Fitness Geylang,39,25,12,2,12,64.1,30.77,5.13
Anytime Fitness Clementi 354,36,27,8,1,8,75.0,22.22,2.78
Anytime Fitness Bukit Merah,34,25,8,1,8,73.53,23.53,2.94
Anytime Fitness Labrador View,31,30,1,0,0,96.77,3.23,0.0
Anytime Fitness Bukit Batok Connection,27,16,10,1,10,59.26,37.04,3.7
Anytime Fitness Hong Kah North CC,25,19,3,3,3,76.0,12.0,12.0
Anytime Fitness Chong Pang,25,21,4,0,4,84.0,16.0,0.0
Anytime Fitness Clarke Quay,25,23,0,2,0,92.0,0.0,8.0
Anytime Fitness - Tengah,24,22,2,0,2,91.67,8.33,0.0
Anytime Fitness Kebun Baru CC,24,21,0,3,0,87.5,0.0,12.5
Anytime Fitness The Concourse,24,15,6,3,2,62.5,25.0,12.5
Anytime Fitness Tampines 487,21,20,1,0,1,95.24,4.76,0.0
Anytime Fitness Bishan 227,21,14,7,0,6,66.67,33.33,0.0
Anytime Fitness NTU,20,18,0,2,0,90.0,0.0,10.0
Anytime Fitness Kaki Bukit,20,17,2,1,1,85.0,10.0,5.0
Anytime Fitness Marsiling MRT,18,14,3,1,2,77.78,16.67,5.56
Anytime Fitness Upper Changi,18,16,2,0,1,88.89,11.11,0.0
Anytime Fitness Guillemard,17,10,1,6,1,58.82,5.88,35.29
Anytime Fitness,12,8,3,1,2,66.67,25.0,8.33
Anytime Fitness Bukit Merah Central,11,9,0,2,0,81.82,0.0,18.18
Anytime Fitness Dakota,9,7,2,0,2,77.78,22.22,0.0
Anytime Fitness Bedok 200 North Ave 1,6,5,1,0,1,83.33,16.67,0.0
Anytime Fitness Jurong,6,4,1,1,1,66.67,16.67,16.67
Anytime Fitness 548 Ang Mo Kio,1,0,1,0,1,0.0,100.0,0.0
Anytime Fitness Joo Chiat,1,1,0,0,0,100.0,0.0,0.0
Anytime Fitness Yew Tee 614,1,1,0,0,0,100.0,0.0,0.0
