Outlet,Aspect,Mention_Count,Avg_Sentiment,Positive_Pct,Negative_Pct
Anytime Fitness Bugis,Crowdedness,48,0.308046875,64.58,8.33
Anytime Fitness Bugis,Location/Accessibility,58,0.5151824712643678,84.48,0.0
Anytime Fitness Bugis,Cleanliness,182,0.6049290750915751,93.96,3.3
Anytime Fitness Bugis,Classes/Programs,19,0.5243368421052633,78.95,0.0
Anytime Fitness Bugis,Price/Fees,35,0.30360047619047625,57.14,11.43
Anytime Fitness Bukit Batok (Le Quest),Staff/Service,86,0.7169972868217053,98.84,0.0
Anytime Fitness Bukit Batok (Le Quest),Equipment,35,0.5110557142857144,88.57,2.86
Anytime Fitness Bukit Batok (Le Quest),Overall Experience,51,0.6002236928104576,96.08,0.0
Anytime Fitness Bukit Batok (Le Quest),Cleanliness,39,0.6423076923076925,97.44,0.0
Anytime Fitness Bukit Batok (Le Quest),Facilities,44,0.4935198863636364,81.82,11.36
Anytime Fitness Bukit Batok (Le Quest),Policies/Contract,11,0.6235454545454545,100.0,0.0
Anytime Fitness Bukit Batok (Le Quest),Location/Accessibility,18,0.41833333333333333,72.22,5.56
Anytime Fitness Bukit Batok (Le Quest),Price/Fees,7,0.7001999999999999,100.0,0.0
Anytime Fitness Bukit Batok (Le Quest),Crowdedness,8,0.26526875,75.0,12.5
Anytime Fitness Bukit Batok (Le Quest),Classes/Programs,2,0.6791,100.0,0.0
Anytime Fitness Ang Mo Kio,Staff/Service,207,0.6306072061191625,95.65,2.9
Anytime Fitness Ang Mo Kio,Facilities,56,0.4766303571428572,83.93,7.14
Anytime Fitness Ang Mo Kio,Overall Experience,128,0.49430904947916665,89.84,5.47
Anytime Fitness Ang Mo Kio,Price/Fees,28,0.4195678571428572,78.57,7.14
Anytime Fitness Ang Mo Kio,Cleanliness,51,0.4637544117647059,84.31,9.8
Anytime Fitness Ang Mo Kio,Equipment,58,0.3968400862068966,75.86,5.17
Anytime Fitness Ang Mo Kio,Policies/Contract,18,0.2915111111111111,66.67,16.67
Anytime Fitness Ang Mo Kio,Location/Accessibility,37,0.2877013513513514,56.76,13.51
Anytime Fitness Ang Mo Kio,Crowdedness,16,0.20311666666666667,37.5,6.25
Anytime Fitness Ang Mo Kio,Classes/Programs,2,0.918,100.0,0.0
Anytime Fitness Toa Payoh,Overall Experience,150,0.7391230777777779,98.67,1.33
Anytime Fitness Toa Payoh,Staff/Service,148,0.5915359797297297,92.57,3.38
Anytime Fitness Toa Payoh,Equipment,39,0.4609602564102565,79.49,2.56
Anytime Fitness Toa Payoh,Facilities,54,0.48034351851851853,74.07,3.7
Anytime Fitness Toa Payoh,Cleanliness,32,0.5625765625,90.62,6.25
