Location,Aspect,Mention_Count,Avg_Sentiment,Positive_Pct,Negative_Pct
Bishan,Overall Experience,20,0.6440216666666666,100.0,0.0
Bishan,Cleanliness,15,0.5482,93.33,0.0
Bishan,Facilities,16,0.6888218749999999,100.0,0.0
Bishan,Price/Fees,5,0.0939,60.0,40.0
Sengkang,Facilities,3,0.5501666666666667,100.0,0.0
Sengkang,Staff/Service,3,0.6398805555555556,100.0,0.0
Pasir Ris,Staff/Service,82,0.6217713414634147,92.68,2.44
Pasir Ris,Cleanliness,8,0.44473125,75.0,12.5
Pasir Ris,Price/Fees,12,0.4207416666666666,66.67,8.33
Pasir Ris,Overall Experience,55,0.5670824848484848,90.91,1.82
Pasir Ris,Policies/Contract,11,0.21825454545454545,54.55,27.27
Pasir Ris,Classes/Programs,15,0.3574511111111111,66.67,6.67
Pasir Ris,Equipment,18,0.2848388888888889,61.11,11.11
Pasir Ris,Facilities,16,0.38988125000000007,75.0,18.75
Pasir Ris,Location/Accessibility,8,0.5346375,87.5,0.0
Woodlands,Staff/Service,34,0.6315651960784313,97.06,2.94
Woodlands,Equipment,34,0.31050588235294124,67.65,14.71
Woodlands,Price/Fees,4,0.2577,50.0,0.0
Woodlands,Location/Accessibility,28,0.25792857142857145,53.57,10.71
Woodlands,Overall Experience,27,0.5587543209876543,92.59,7.41
Woodlands,Facilities,28,0.36907142857142855,75.0,14.29
Woodlands,Classes/Programs,6,0.4522833333333333,83.33,0.0
Woodlands,Crowdedness,16,0.25688125,56.25,12.5
Woodlands,Cleanliness,10,0.39701000000000003,70.0,20.0
Orchard,Staff/Service,424,0.6976956957547169,96.23,1.65
Orchard,Cleanliness,137,0.627856812652068,96.35,3.65
Orchard,Equipment,162,0.5071020061728396,85.19,4.94
Orchard,Location/Accessibility,95,0.48792157894736843,81.05,5.26
Orchard,Overall Experience,228,0.6231760233918129,97.37,0.88
Orchard,Facilities,166,0.4888178313253011,80.72,9.04
Orchard,Price/Fees,32,0.31256874999999995,65.62,18.75
Orchard,Policies/Contract,25,0.263147,60.0,12.0
Orchard,Crowdedness,65,0.2985874358974359,63.08,4.62
Orchard,Classes/Programs,23,0.5325652173913044,91.3,4.35
Shahmi,Staff/Service,6,0.7551916666666667,100.0,0.0
Shahmi,Cleanliness,3,0.8272333333333334,100.0,0.0
Shahmi,Equipment,3,0.6948,100.0,0.0
Shahmi,Facilities,4,0.7618375,100.0,0.0
Pasir Panjang,Staff/Service,3,0.7982999999999999,100.0,0.0
Buona,Staff/Service,10,0.626055,100.0,0.0
Buona,Cleanliness,5,0.57315,100.0,0.0
Buona,Equipment,6,0.3937027777777778,83.33,0.0
Buona,Facilities,6,0.4175716666666667,83.33,0.0
Buona,Price/Fees,4,0.49760000000000004,75.0,0.0
Buona,Policies/Contract,3,0.5186416666666667,100.0,0.0
Buona,Crowdedness,4,0.4505,75.0,0.0
Buona,Location/Accessibility,5,0.41048,80.0,0.0
Buona,Overall Experience,6,0.6941222222222222,100.0,0.0
singapore,Equipment,5,0.49204499999999995,80.0,20.0
singapore,Overall Experience,8,0.783925,100.0,0.0
singapore,Staff/Service,12,0.7222158333333333,100.0,0.0
singapore,Cleanliness,5,0.6400399999999999,80.0,0.0
singapore,Facilities,8,0.6215125,87.5,0.0
Philippines,Staff/Service,4,0.5955374999999999,100.0,0.0
MRT,Staff/Service,4,0.339175,75.0,25.0
MRT,Cleanliness,4,0.09660000000000002,50.0,50.0
MRT,Facilities,4,0.1301125,50.0,25.0
MRT,Location/Accessibility,8,0.03081875,25.0,12.5
MRT,Equipment,4,0.27290000000000003,75.0,25.0
Greenwich,Facilities,3,0.4325666666666666,66.67,0.0
Aircon,Facilities,8,0.19124999999999998,62.5,37.5
Aircon,Overall Experience,3,0.7176666666666667,100.0,0.0
Aircon,Cleanliness,3,0.3820333333333334,66.67,33.33
Aircon,Equipment,3,0.14709999999999998,33.33,33.33
n’t,Cleanliness,7,0.5301642857142856,100.0,0.0
n’t,Equipment,3,0.4261,66.67,0.0
n’t,Facilities,6,0.4380188888888889,83.33,16.67
n’t,Crowdedness,3,0.13988888888888887,33.33,0.0
n’t,Location/Accessibility,3,0.4092,100.0,0.0
n’t,Overall Experience,7,0.3451,71.43,14.29
n’t,Staff/Service,10,0.4403342857142857,80.0,20.0
n’t,Price/Fees,4,-0.12248333333333332,25.0,50.0
n’t,Policies/Contract,3,0.13655833333333334,33.33,33.33
P.S.,Equipment,3,0.3917833333333334,66.67,0.0
P.S.,Location/Accessibility,3,0.5282166666666667,66.67,0.0
P.S.,Overall Experience,3,0.6396666666666667,100.0,0.0
P.S.,Staff/Service,3,0.8097,100.0,0.0
AF Sembawang,Overall Experience,3,0.734575,100.0,0.0
AF Sembawang,Staff/Service,3,0.8163555555555555,100.0,0.0
Sembawang,Facilities,8,0.23022499999999999,37.5,12.5
Sembawang,Classes/Programs,3,0.20493333333333333,66.67,33.33
Sembawang,Overall Experience,7,0.5240452380952381,85.71,0.0
Sembawang,Staff/Service,9,0.6435342592592592,100.0,0.0
Sembawang,Policies/Contract,3,0.458,66.67,33.33
Sembawang,Location/Accessibility,6,0.35342500000000004,83.33,0.0
Sembawang,Equipment,5,0.39398,80.0,0.0
Damia,Staff/Service,10,0.6578424999999999,100.0,0.0
Damia,Overall Experience,6,0.7531916666666666,100.0,0.0
Damia,Classes/Programs,4,0.55645,75.0,0.0
Damia,Location/Accessibility,3,0.30233333333333334,33.33,0.0
QJ,Staff/Service,3,0.41133333333333333,100.0,0.0
Malaysia,Staff/Service,6,0.019491666666666668,16.67,50.0
Malaysia,Equipment,4,0.06763333333333335,50.0,50.0
Malaysia,Price/Fees,3,-0.14049999999999999,0.0,33.33
Natalia,Staff/Service,8,0.5931124999999999,87.5,0.0
Natalia,Overall Experience,3,0.6984,100.0,0.0
Natalia,Cleanliness,3,0.6507666666666667,100.0,0.0
Precor,Cleanliness,3,0.4365833333333333,100.0,0.0
Precor,Equipment,4,0.06988437499999997,75.0,25.0
Precor,Facilities,4,0.3043625,75.0,0.0
Jordan,Staff/Service,5,0.67222,100.0,0.0
NS,Facilities,3,0.13795,66.67,33.33
NS,Location/Accessibility,3,0.30433333333333334,66.67,33.33
Somerset,Cleanliness,3,0.4415833333333334,66.67,33.33
Somerset,Facilities,3,0.08923333333333333,33.33,33.33
Australia,Staff/Service,4,0.2702479166666667,75.0,0.0
Australia,Cleanliness,4,0.6110249999999999,100.0,0.0
Australia,Equipment,5,0.41433,80.0,0.0
Georgina,Staff/Service,4,0.7334375000000001,100.0,0.0
Georgina,Overall Experience,3,0.6748777777777777,100.0,0.0
Nina,Staff/Service,7,0.6663749999999998,100.0,0.0
Nina,Overall Experience,6,0.7528083333333333,100.0,0.0
Nina,Cleanliness,3,0.7071,100.0,0.0
Nina,Facilities,3,0.7511333333333333,100.0,0.0
Dominic,Staff/Service,3,0.7268166666666667,100.0,0.0
kinda,Facilities,3,0.4643,100.0,0.0
Kovan,Staff/Service,5,0.60322,80.0,0.0
Kovan,Facilities,5,0.36560000000000004,60.0,0.0
Kovan,Cleanliness,5,0.6194366666666667,100.0,0.0
Kovan,Equipment,5,0.4419575,80.0,0.0
Kovan,Location/Accessibility,6,0.0891,33.33,16.67
Kovan,Overall Experience,3,0.7096,100.0,0.0
Kovan,Price/Fees,3,0.31425000000000003,66.67,33.33
holland,Staff/Service,3,0.5035333333333333,100.0,0.0
Japan,Cleanliness,3,0.27992222222222224,66.67,33.33
Japan,Equipment,3,0.5727944444444445,100.0,0.0
Japan,Crowdedness,3,0.6003166666666667,100.0,0.0
Cozy,Location/Accessibility,3,0.15293333333333334,33.33,0.0
Cozy,Equipment,3,0.3323666666666667,66.67,0.0
Cozy,Staff/Service,7,0.7320714285714285,100.0,0.0
Cozy,Overall Experience,3,0.6581,100.0,0.0
Nadia,Staff/Service,4,0.7238199999999999,100.0,0.0
Nadia,Cleanliness,3,0.767575,100.0,0.0
Nadia,Equipment,3,0.7049333333333333,100.0,0.0
Clementi,Cleanliness,8,0.6076999999999999,100.0,0.0
Clementi,Equipment,9,0.656961111111111,100.0,0.0
Clementi,Facilities,14,0.4067857142857143,78.57,21.43
Clementi,Overall Experience,11,0.5780242424242424,100.0,0.0
Clementi,Staff/Service,18,0.6980703703703705,100.0,0.0
Clementi,Crowdedness,5,-0.11794,20.0,60.0
Clementi,Location/Accessibility,5,0.51664,100.0,0.0
Eden,Staff/Service,3,0.8176333333333333,100.0,0.0
Amelia,Staff/Service,17,0.6722549019607843,100.0,0.0
Amelia,Cleanliness,5,0.66804,80.0,0.0
Amelia,Overall Experience,6,0.6780583333333333,100.0,0.0
Amelia,Equipment,4,0.582975,75.0,0.0
Amelia,Facilities,3,0.5434,66.67,0.0
Khai,Staff/Service,3,0.46925,100.0,0.0
Annam,Staff/Service,4,0.629175,100.0,0.0
Dewi,Staff/Service,11,0.7268969696969697,100.0,0.0
Dewi,Location/Accessibility,5,0.44374,60.0,0.0
Dewi,Overall Experience,7,0.6289238095238096,100.0,0.0
Fatihi,Staff/Service,5,0.6400600000000001,100.0,0.0
Ezypay,Price/Fees,4,0.043348571428571445,25.0,50.0
Punggol,Staff/Service,3,0.606375,100.0,0.0
Punggol,Overall Experience,3,0.6272777777777777,100.0,0.0
Punggol,Policies/Contract,3,0.6170333333333334,100.0,0.0
Punggol,Location/Accessibility,3,0.45786666666666664,66.67,0.0
Punggol,Equipment,3,0.4006444444444444,66.67,33.33
Lucas,Staff/Service,9,0.47626851851851854,77.78,22.22
Lucas,Overall Experience,7,0.4190761904761905,85.71,14.29
Lucas,Location/Accessibility,3,0.7484333333333333,100.0,0.0
Putri,Staff/Service,5,0.7496033333333333,100.0,0.0
Putri,Cleanliness,3,0.7937499999999998,100.0,0.0
Putri,Facilities,3,0.7258833333333334,100.0,0.0
Putri,Overall Experience,3,0.7244333333333334,100.0,0.0
Kirtan,Facilities,4,0.8205749999999999,100.0,0.0
Kirtan,Classes/Programs,14,0.503275,78.57,0.0
Kirtan,Overall Experience,11,0.6586606060606061,100.0,0.0
Kirtan,Staff/Service,9,0.6966166666666667,100.0,0.0
Kirtan,Equipment,6,0.391975,66.67,0.0
Kirtan,Cleanliness,7,0.7057142857142856,100.0,0.0
Kirtan,Location/Accessibility,3,0.3269,66.67,33.33
Khairun,Staff/Service,3,0.8634000000000001,100.0,0.0
SINGAPORE,Staff/Service,3,0.4967333333333334,66.67,33.33
natalia,Staff/Service,3,0.8399000000000001,100.0,0.0
Hadi,Staff/Service,4,0.71155,100.0,0.0
Hadi,Overall Experience,3,0.7282444444444445,100.0,0.0
Potong,Staff/Service,3,0.78025,100.0,0.0
Potong,Overall Experience,3,0.6215,100.0,0.0
Potong,Facilities,3,0.5537,100.0,0.0
Brock,Staff/Service,3,0.38215,66.67,33.33
Marcus,Overall Experience,3,0.6749333333333333,100.0,0.0
Tekka,Staff/Service,3,0.7999166666666667,100.0,0.0
Ayden,Staff/Service,4,0.6677500000000001,100.0,0.0
Yulun,Staff/Service,5,0.7365,100.0,0.0
Yulun,Overall Experience,5,0.64036,100.0,0.0
